2023-05-17T15:08:05+09:00,start,国語,1
2023-05-17T15:25:57+09:00,end,国語,1
2023-05-17T19:21:47+09:00,start,算数,1
2023-05-17T19:51:21+09:00,end,算数,1
2023-05-17T20:27:19+09:00,start,社会,1
2023-05-17T20:58:58+09:00,end,社会,1
2023-05-18T06:52:47+09:00,start,理科,1
2023-05-18T07:32:26+09:00,end,理科,1
2023-05-19T17:19:30+09:00,start,学校の宿題,1
2023-05-19T17:38:10+09:00,end,学校の宿題,1
2023-05-19T17:38:16+09:00,start,理科,1
2023-05-19T17:45:56+09:00,end,理科,1
2023-05-19T17:45:59+09:00,start,社会,1
2023-05-19T17:51:44+09:00,end,社会,1
2023-05-19T18:13:22+09:00,start,理科,1
2023-05-19T19:02:39+09:00,end,理科,1
2023-05-19T19:24:59+09:00,start,社会,1
2023-05-19T19:58:09+09:00,end,社会,1
2023-05-19T20:08:48+09:00,start,社会,1
2023-05-19T20:16:51+09:00,end,社会,1
2023-05-19T20:16:59+09:00,start,算数,1
2023-05-19T20:37:26+09:00,end,算数,1
2023-05-20T08:01:45+09:00,start,国語,1
2023-05-20T09:01:45+09:00,end,国語,1
2023-05-20T10:07:50+09:00,start,算数,1
2023-05-20T11:02:47+09:00,end,算数,1
2023-05-20T11:02:49+09:00,start,理科,1
2023-05-20T11:23:28+09:00,end,理科,1
2023-05-20T11:30:17+09:00,start,社会,1
2023-05-20T12:29:17+09:00,end,社会,1
2023-05-20T18:24:23+09:00,start,理科,1
2023-05-20T19:02:00+09:00,end,理科,1
2023-05-20T19:02:16+09:00,start,社会,1
2023-05-20T19:10:23+09:00,end,社会,1
2023-05-22T06:55:08+09:00,start,算数,1
2023-05-22T07:03:08+09:00,end,算数,1
2023-05-22T07:04:09+09:00,start,国語,1
2023-05-22T07:22:19+09:00,end,国語,1
2023-05-22T15:53:54+09:00,start,理科,1
2023-05-22T16:02:53+09:00,end,理科,1
2023-05-22T16:02:56+09:00,start,社会,1
2023-05-22T16:16:50+09:00,end,社会,1
2023-05-23T06:43:06+09:00,start,社会,1
2023-05-23T07:13:06+09:00,end,社会,1
2023-05-23T21:55:49+09:00,start,算数,1
2023-05-23T22:15:49+09:00,end,算数,1
2023-05-24T06:50:49+09:00,start,算数,1
2023-05-24T07:20:49+09:00,end,算数,1
2023-05-24T13:59:08+09:00,start,学校の宿題,1
2023-05-24T14:03:55+09:00,end,学校の宿題,1
2023-05-24T14:04:07+09:00,start,国語,1
2023-05-24T14:28:56+09:00,end,国語,1
2023-05-24T14:29:01+09:00,start,社会,1
2023-05-24T14:58:48+09:00,end,社会,1
2023-05-24T15:05:45+09:00,start,算数,1
2023-05-24T15:17:04+09:00,end,算数,1
2023-05-24T20:41:53+09:00,start,理科,1
2023-05-24T20:47:01+09:00,end,理科,1
2023-05-24T20:47:04+09:00,start,社会,1
2023-05-24T20:52:47+09:00,end,社会,1
2023-05-24T20:56:56+09:00,start,理科,1
2023-05-24T21:00:19+09:00,end,理科,1
2023-05-24T21:00:22+09:00,start,社会,1
2023-05-24T21:10:07+09:00,end,社会,1
2023-05-24T21:11:38+09:00,start,算数,1
2023-05-24T21:37:38+09:00,end,算数,1
2023-05-25T06:50:46+09:00,start,算数,1
2023-05-25T06:57:17+09:00,end,算数,1
2023-05-25T07:00:05+09:00,start,社会,1
2023-05-25T07:04:13+09:00,end,社会,1
2023-05-25T07:05:52+09:00,start,算数,1
2023-05-25T07:30:52+09:00,end,算数,1
2023-05-25T15:53:10+09:00,start,学校の宿題,1
2023-05-25T16:10:10+09:00,end,学校の宿題,1
2023-05-26T07:09:13+09:00,start,理科,1
2023-05-26T07:21:06+09:00,end,理科,1
2023-05-26T15:49:10+09:00,start,社会,1
2023-05-26T16:04:17+09:00,end,社会,1
2023-05-26T21:31:31+09:00,start,社会,1
2023-05-26T21:45:28+09:00,end,社会,1
2023-05-27T16:56:20+09:00,start,理科,1
2023-05-27T17:26:52+09:00,end,理科,1
2023-05-27T17:40:25+09:00,start,算数,1
2023-05-27T18:19:56+09:00,end,算数,1
2023-05-27T18:20:32+09:00,start,社会,1
2023-05-27T18:51:32+09:00,end,社会,1
2023-05-28T14:22:41+09:00,start,国語,1
2023-05-28T14:52:01+09:00,end,国語,1
2023-05-28T15:15:19+09:00,start,理科,1
2023-05-28T17:10:51+09:00,end,理科,1
2023-05-29T06:48:59+09:00,start,理科,1
2023-05-29T07:18:44+09:00,end,理科,1
2023-05-29T07:18:50+09:00,start,社会,1
2023-05-29T07:27:51+09:00,end,社会,1
2023-05-29T08:06:41+09:00,start,算数,1
2023-05-29T08:33:21+09:00,end,算数,1
2023-05-29T16:20:40+09:00,start,理科,1
2023-05-29T16:40:27+09:00,end,理科,1
2023-05-31T07:09:28+09:00,start,理科,1
2023-05-31T07:35:23+09:00,end,理科,1
2023-05-31T09:41:39+09:00,start,国語,1
2023-05-31T09:53:30+09:00,end,国語,1
2023-05-31T13:18:56+09:00,start,学校の宿題,1
2023-05-31T13:32:20+09:00,end,学校の宿題,1
2023-05-31T13:32:23+09:00,start,理科,1
2023-05-31T13:48:04+09:00,end,理科,1
2023-05-31T13:48:05+09:00,start,理科,1
2023-05-31T14:19:38+09:00,end,理科,1
2023-05-31T14:22:38+09:00,start,国語,1
2023-05-31T15:15:36+09:00,end,国語,1
2023-05-31T15:29:16+09:00,start,国語,1
2023-05-31T15:58:16+09:00,end,国語,1
2023-05-31T15:59:24+09:00,start,理科,1
2023-05-31T16:19:16+09:00,end,理科,1
2023-05-31T16:19:19+09:00,start,社会,1
2023-05-31T16:31:48+09:00,end,社会,1
2023-05-31T18:40:32+09:00,start,理科,1
2023-05-31T19:58:17+09:00,end,理科,1
